Warning: DEEPSEEK_API_KEY not set; skipping zh-tw translation for 342 delta question(s)
Missing zh-tw translation for a8204b2de20ba4a405b1f5695801a2575d1c30299aec5261878e395a53a0ef96, using English fallback
Missing zh-tw translation for 8bf9ced92cc97a14faaa385b90c6aeaa9876afc7fef3a6bc1c937927e28e468b, using English fallback
Missing zh-tw translation for a373c09639c99047bf612388a2fe9f556afe0a0dc29408d2e4f83402d1cee4e9, using English fallback
Missing zh-tw translation for 66a3692ae1a5a97da991d53888c2efe9dceec599486e3439a8839efb11942664, using English fallback
Missing zh-tw translation for 881bbf2337f1e674cf0496c28be4c05a7a402199b1e13c9fde590199ece28495, using English fallback
Missing zh-tw translation for 74f327c7c3a5c7e115f2dcd837bb73f085d4ea0e1241651cbca4205de657b1a1, using English fallback
Missing zh-tw translation for 0e685c985d23dd86604498a14c43cdaf93fc098a07d1671ae9b5addbc2df897a, using English fallback
Missing zh-tw translation for abce268f756b3d93bce5c1a3efa88db495d17f7e6847b043203465299b10b585, using English fallback
Missing zh-tw translation for 34661abd8f58809509b212b63848cccae94d554f3da32b451d85851f8b224a16, using English fallback
Missing zh-tw translation for 23724ef2874e2e79b063bb0ccebad0ff81a6c543b9ad7feec69fc411a9ad5caf, using English fallback
Missing zh-tw translation for d27552b17d4f2d24d3a98bdffff55b0291be5ec0407331536c68c3f5a1e71991, using English fallback
Missing zh-tw translation for d86bdcf15ff5c466e92640df8ebc6665af0972cec515ff433b2ed813529a25dd, using English fallback
Missing zh-tw translation for 230218d5f3efa9a993b00c7eaf5df777e14b39457b258256d0759740f6c92112, using English fallback
Missing zh-tw translation for 53ad74faf909c6c328559e5cbab815c2f7df8dc1c3934c8eda3e7d7249054a4d, using English fallback
Missing zh-tw translation for d59974140deff00b6affcdf9745e2254e361eb65918e30494248195a82229909, using English fallback
Missing zh-tw translation for e64ff48e5e5bf91f4266a4960d88693769f13175e5b7aca92402d1a2d5249137, using English fallback
Missing zh-tw translation for 562701fdfe9149eceb5ec72d54de3d53ca6664dee6acaa2dca446066bec7fbb8, using English fallback
Missing zh-tw translation for eb17c696a8973b41ee5faa6f32422402d18216997aee50b363315aca4086c823, using English fallback
Missing zh-tw translation for 2125830c08f76af982442a8384bbdf6d547c034a43f5c0e5559b2a2299beba39, using English fallback
Missing zh-tw translation for 64dc26d72aae978262786c4607c4d174d5dc16aa80f5f5b5a1de97b1bebe94ae, using English fallback
Missing zh-tw translation for e7a3ae3640e6fc85d58c1ba53efae50d855263e9558d836d8ec36547b8c1190e, using English fallback
Missing zh-tw translation for f0b50455116573c78b4d0901256b6e2156d97b94007d665e2e4a066ddd8dea47, using English fallback
Missing zh-tw translation for 695955433ca937618062429dfe23b0d9d2b4ad4ebe16adc44567f88e4bbf6a34, using English fallback
Missing zh-tw translation for 92ce9199362c14ce55b425de0b0785a1706a8606f2f5fcd3c2cf9b0f3e41b959, using English fallback
Missing zh-tw translation for ec57808c8041aca9491eec7c54d46eddc0d6f77ad89a409da227ba293243e6ce, using English fallback
Missing zh-tw translation for e88de466dc7bdf731162df04858b2666211a684e97b7417710a74f44a6fb6f64, using English fallback
Missing zh-tw translation for 7f148993aff758543d7bf83953c9b2ce7062ce5c62a812f2bb04c366ce379612, using English fallback
Missing zh-tw translation for dd55c6a30709382895358b705464abb7199d72d0e2fee333d7940396cd519cc3, using English fallback
Missing zh-tw translation for d5b9008998fa55fb47f4fc5fbc0183e135f3f9da14cde1db37b060678f24f43e, using English fallback
Missing zh-tw translation for 157712de061141605f52093f8989acabed6b8fbb71d00481acf1df5aeef5ed15, using English fallback
Missing zh-tw translation for b05c6038da1677b4e553d55e7b8173d67b5b185d0473267bae22a3c8c6152a0d, using English fallback
Missing zh-tw translation for 37962bde58974fa8a82d73f2298826c1e7ace0fed3bb156262455d46b3b6932f, using English fallback
Missing zh-tw translation for b28eacb4f9e8c71d44a4ad0393341428c105b33a806ee3c3872acc1258735153, using English fallback
Missing zh-tw translation for bbc5bfa3511e7b2c2d1c43abe7d2258032e0125de382062bc14e58a9fa6f582b, using English fallback
Missing zh-tw translation for 0a436868cccc81dcef8260f1a6326505deb6903235ca30f1ae45b84f4d4018fe, using English fallback
Missing zh-tw translation for 93d6cccbd70f3b41afa81562ff7a145945a320e29d895ba414aac49a08d135fd, using English fallback
Missing zh-tw translation for c8a9b2341649af0add90a64bf4e073aaea9c306225dcda05baef638602edb21a, using English fallback
Missing zh-tw translation for 224f6f2a6da26221ef545f2da2e4eaab1e6faa247320ee044d44e8e71cbee971, using English fallback
Missing zh-tw translation for cc9addc785037ca567df08720532075dbb0ac5b01fb960d55dec25ec466f85ac, using English fallback
Missing zh-tw translation for 63547f4395b00e692305cbfa3bd913570b7a1e34022848a33d53139334c35e0b, using English fallback
Missing zh-tw translation for d806c590b72689f854402d1dd1264f408892b7ad8a60fd5d73e188d7f099b5f2, using English fallback
Missing zh-tw translation for 8913e688a06c0d0007cf7862ceae6a578efd79ad4a0cbec3a6212dea5af7944e, using English fallback
Missing zh-tw translation for 78996942bee60651ac39214afd8f9133026e51bcb6c6f2da2ec951f29fc421da, using English fallback
Missing zh-tw translation for 4d5266fe4b23b66d0711e12a5e0be6cd6f64cb4e4e61b7486382706d716413e7, using English fallback
Missing zh-tw translation for a8e4039e13a9ee666d3511857b0ae0e1438e14ccbc4f9283c5aa5e4fdb2346d3, using English fallback
Missing zh-tw translation for 29998ed1093d48dea03b32564aff6595d8eb0bdfda33b9c3073a0df6f24e37b7, using English fallback
Missing zh-tw translation for ece31f807a6148f320c338f81ef69e03be828546bbc80b6a237f6832fd4653e7, using English fallback
Missing zh-tw translation for 023c3cec78e4cda9fea4d67eaf78959f756c580f93e7f3e5e9aca00077d59177, using English fallback
Missing zh-tw translation for 51209ec28ecf20548296cf60bbba1e814e90ce2775a218df72ef80fd92d4ee56, using English fallback
Missing zh-tw translation for 2d5ea9e4c7ff9ca3c2fcf43a6e94d78c91b2d9993cc2b6091aa552fa482382fb, using English fallback
Missing zh-tw translation for a2ba6cd86d2f2911b4defa61b773621b3a34db02a07624a15e5140d84a33a8e6, using English fallback
Missing zh-tw translation for 6ab4ea99938d1b42296149f7fbef068d1f4db52fd5f3d91363aaf5e8b279bd20, using English fallback
Missing zh-tw translation for eeae67148d08a53ca5a820a713fdd4072b733739b83675b0d06a93d730fd4a1c, using English fallback
Missing zh-tw translation for 5197d0645b916150532633b404b5d04232404019d9b8dc99d802574d7e7017ad, using English fallback
Missing zh-tw translation for eb4ef8dd8b8f04c084ec8f4ef5c009890af7475ed1cd0ba33c755448e42d0b4d, using English fallback
Missing zh-tw translation for 0fa8160008160398ada95fb8aa9cc62e9c79bf79d34810ee06f05c4d1c84699c, using English fallback
Missing zh-tw translation for bc867b1f3e5f8fab9ece680903199bfa03793e7ad82f13c2bfa8a23d9743fb5a, using English fallback
Missing zh-tw translation for ea4545d52077e37821ab14682fbbf141e3439c44c03eaf27b4701c7bfdc1bc7d, using English fallback
Missing zh-tw translation for 39832b5d89c52d5697ad9becb51520ee880b134e1892dea1b1959c36e0e4b94d, using English fallback
Missing zh-tw translation for 5b23d98ad7b3d8ebc6274dfa24ae4c9f1f4eac7b6a6c208d4bf904639bca0767, using English fallback
Missing zh-tw translation for e0c18c187a12893ca8f9e6c98b86ce0c8ad6a6cb126d1cd9ddcf519d7500e1a1, using English fallback
Missing zh-tw translation for cc8631361b73d3fb7ec42ee334490950353bd5caa3db554f2fc35e9eefd46396, using English fallback
Missing zh-tw translation for 884e876893541e5849a3b9ff6f46809b77fe3dad354402c5e09c36a35a7e1a11, using English fallback
Missing zh-tw translation for c2897731dac95d9dd92d21cd84dd1eaa9bbbee483214403786d4e86954977437, using English fallback
Missing zh-tw translation for 35f306329ff27135edb65304439177d4236d6a3ed364b92cdad153236d04b7de, using English fallback
Missing zh-tw translation for 81a395d281a5f9be0aecdb2a2d51b3e8e5b092b18ea326e6297aa5d04bdc0a91, using English fallback
Missing zh-tw translation for 2bcca8d60a58d44211e99030496901606db7904c53d54d3463d900f2cd310f12, using English fallback
Missing zh-tw translation for f360bb896dff200d00cbf658f796c4f4eee10bcc8f4b9a7cbe6ae18cb374fc63, using English fallback
Missing zh-tw translation for 1ae704cc04c7d4e7765fa7cb6995995d23d0a877fc7643b6fe069557ee9f8125, using English fallback
Missing zh-tw translation for d3b2817977e998a17a25cb01e9fe1de8bb2c5e1e5944ba6816d6d4414c2ec077, using English fallback
Missing zh-tw translation for 7fac1291be6626f5d52fa223116ac4d7dae79622def1f8955b5bdd9ed75a1431, using English fallback
Missing zh-tw translation for 6cbcf548a2c8ef7b6f7e90626981ec0aed55fd714f15a3eef054614a0848f6f5, using English fallback
Missing zh-tw translation for fcc4cf8e37b98bb965fc6817dcabb77a0d21e68b0825b89d93be7349be5e3634, using English fallback
Missing zh-tw translation for 368e2365d6e2008b51a08ab1c8d2f50e771fc1484595c3f5453df86fd8e4e9dd, using English fallback
Missing zh-tw translation for a140a0d5ee16eb99eb12003c156ecca803843998f8aed61c2250d1a2b27d1611, using English fallback
Missing zh-tw translation for d25d401b607e99c6c4057a674842792a10807c0c08efb0858a06834994bf624e, using English fallback
Missing zh-tw translation for a258546a6ef54c2caeb14f9da415fa6f876c205868ec28f28ae0a0439bc75530, using English fallback
Missing zh-tw translation for dc241af0edd60c441a6bc100e2bb07198ff9a39e91419aa6f09011811340b707, using English fallback
Missing zh-tw translation for 0f9ac22fb1df528246a82ce7b5f964c57d39725071fb4af38f6bfd8b33eea89c, using English fallback
Missing zh-tw translation for 85aac119ccbb7817c591c90970a0d23ba2c8f6f8190346b4daceeb624d348016, using English fallback
Missing zh-tw translation for d60740c020c22d299aecb1838c15ad3a66a02aa45d35365f7500f5aeac2c04cd, using English fallback
Missing zh-tw translation for fa5015924ffc6d306fad27a89384d4469ac0be795d0fb48c953f09c9b5fbaf5d, using English fallback
Missing zh-tw translation for 5c840ba2d70b59c728ecdd8c51f98e22d45725db6580625d3d8a2a0db3ac5dcd, using English fallback
Missing zh-tw translation for 1f0058cde1ec36f2b698cd7b4175cc824a867f2af42e57e635c9bb2dc3b20275, using English fallback
Missing zh-tw translation for c4881f0a161eee235d258e969ae60600bcad60ffd24baac291cecd60a99a757c, using English fallback
Missing zh-tw translation for 50fe5ea2f0d820a8376e9a16058306e14679814806f97391c2e6a9597d6be80a, using English fallback
Missing zh-tw translation for 2ac3438cfcc26b7a0b614e6dfb188019c97f034b5237a9d986a7f70b385652cf, using English fallback
Missing zh-tw translation for fe1b989549ef89c00417541755338279282e23d53623f88e7f49997e7e4a2c76, using English fallback
Missing zh-tw translation for 5a5daeea9bc6973c395b7cbbc5ae8fdafdebfe22c389c70c2306cca136c78efd, using English fallback
Missing zh-tw translation for 06bbb55b78138e9e619ef6e18d25b59bcb8c77b60031765e61d5c945fda39aa1, using English fallback
Missing zh-tw translation for adbf0155e85bd782c1cccbdcdf2be6e75baf53a3f7961ac26a0e655c48901282, using English fallback
Missing zh-tw translation for eac729e33f1de3e50ab5d91841e3a825f359cc75bcfaf115ac21c0f401987ae7, using English fallback
Missing zh-tw translation for e30dc0ecbf3e38a768641e60cd602067cfc1607f237b86d58c2d351f021ac844, using English fallback
Missing zh-tw translation for 4dc77a6a4039e8b378831ac4fbc4db67f52e840d4cb839deb7a9bc462091ab88, using English fallback
Missing zh-tw translation for e6a2ec615325776e1c079875e6053d41b9e8085d779092d72660aeb30523e5e0, using English fallback
Missing zh-tw translation for 77fa486c5b68c596a18ccfc46d528781f1e6a98c508922c7503570527e497ef2, using English fallback
Missing zh-tw translation for 66b3fbb79e14f49cb835f4aad10bf34d66bd49c9117ed2ab200e4cd2fc25bbc7, using English fallback
Missing zh-tw translation for 04285a2bcac7384f690905e26ddbae3c524e16fe9d61bc3931851cb536e91196, using English fallback
Missing zh-tw translation for 566f490d2c00a2f1580ec9158692995c9607ea41c26ca166103b8501e55da732, using English fallback
Missing zh-tw translation for db7bacfb9d875ab8950592f8cfa7d7c01c19614742d3efc329db84e03cfb94f7, using English fallback
Missing zh-tw translation for 7caf7d28a6f7f27c64e1d0db628727532a7a19de9643fa15e4b537d360eea82e, using English fallback
Missing zh-tw translation for 7351407827105eeb01b801ae44472e9859b6545f3d8698f1196eb83300dbfdb9, using English fallback
Missing zh-tw translation for 176084ad3af169aed64f1c1268db251c3825d068b345f6493f02e5b49c61b50b, using English fallback
Missing zh-tw translation for 475d5a52a0181ef7eb6ea1a92576e6f12f3ca5532b5cbca0a645ba1dc5c1b05b, using English fallback
Missing zh-tw translation for 1534941125e889c8343ed81a84d956fe4a81e6949c6882b011bed9a785ab3b68, using English fallback
Missing zh-tw translation for 942b81b29b638af240a31ab052e1bbf4f65272d0b887eadcd800c3d29eccbfa1, using English fallback
Missing zh-tw translation for c92d8f08fd0e24ebb75652bfd332389bbd445594dc19f463c0e6098ff3dc5992, using English fallback
Missing zh-tw translation for d4840e2ccd91c01a4f2b47b027220885d8331648df23f0fafcba6937c188461c, using English fallback
Missing zh-tw translation for bea0f1a5f1dc337eaaf7fb4448a4f4c60ac814a8e42787bc0361bdbd3cc69b62, using English fallback
Missing zh-tw translation for b9ad3a85cb5e1d022b827c2e445f09d497bca9ac0c04c5d74b1f0803803793c8, using English fallback
Missing zh-tw translation for 886af871eba2d19293a25f2b608e5da865327bd3b781433f0edcfcc76e2cf129, using English fallback
Missing zh-tw translation for 007545cce3012cdd46a45019294d8bb1a2bdb44c90017d77b66819e91d832754, using English fallback
Missing zh-tw translation for adbd44fd1cacfc27d1aa2edab148c5d9a892bd603922ac93461c6647601f1588, using English fallback
